DateUTC,CountryCode,Value,Cov_ratio
2025-02-21 00:00:00,PT,5776.6,100
2025-02-21 00:00:00,ES,24583.0,100
2025-02-21 01:00:00,PT,5387.1,100
2025-02-21 01:00:00,ES,23482.0,100
2025-02-21 02:00:00,ES,23023.0,100
2025-02-21 02:00:00,PT,5127.3,100
2025-02-21 03:00:00,ES,22716.0,100
2025-02-21 03:00:00,PT,5048.1,100
2025-02-21 04:00:00,PT,4994.3,100
2025-02-21 04:00:00,ES,23107.0,100
2025-02-21 05:00:00,PT,5117.3,100
2025-02-21 05:00:00,ES,25436.0,100
2025-02-21 06:00:00,PT,5561.6,100
2025-02-21 06:00:00,ES,29597.0,100
2025-02-21 07:00:00,PT,6354.8,100
2025-02-21 07:00:00,ES,31798.0,100
2025-02-21 08:00:00,ES,32190.0,100
2025-02-21 08:00:00,PT,7267.2,100
2025-02-21 09:00:00,PT,7611.3,100
2025-02-21 09:00:00,ES,31971.0,100
2025-02-21 10:00:00,PT,7617.2,100
2025-02-21 10:00:00,ES,31772.0,100
2025-02-21 11:00:00,PT,7818.3,100
2025-02-21 11:00:00,ES,31209.0,100
2025-02-21 12:00:00,PT,7769.0,100
2025-02-21 12:00:00,ES,31211.0,100
2025-02-21 13:00:00,ES,30710.0,100
2025-02-21 13:00:00,PT,7809.7,100
2025-02-21 14:00:00,PT,8031.4,100
2025-02-21 14:00:00,ES,30138.0,100
2025-02-21 15:00:00,ES,29795.0,100
2025-02-21 15:00:00,PT,7893.7,100
2025-02-21 16:00:00,ES,29926.0,100
2025-02-21 16:00:00,PT,7649.4,100
2025-02-21 17:00:00,ES,30452.0,100
2025-02-21 17:00:00,PT,7569.1,100
2025-02-21 18:00:00,ES,32503.0,100
2025-02-21 18:00:00,PT,7907.2,100
2025-02-21 19:00:00,ES,33310.0,100
2025-02-21 19:00:00,PT,8315.5,100
2025-02-21 20:00:00,PT,8128.1,100
2025-02-21 20:00:00,ES,32986.0,100
2025-02-21 21:00:00,ES,30282.0,100
2025-02-21 21:00:00,PT,7711.4,100
2025-02-21 22:00:00,ES,27691.0,100
2025-02-21 22:00:00,PT,7057.3,100
2025-02-21 23:00:00,PT,6312.8,100
2025-02-21 23:00:00,ES,25763.0,100
2025-02-22 00:00:00,PT,5760.3,100
2025-02-22 00:00:00,ES,24136.0,100
2025-02-22 01:00:00,ES,22761.0,100
2025-02-22 01:00:00,PT,5334.7,100
2025-02-22 02:00:00,PT,5084.0,100
2025-02-22 02:00:00,ES,21934.0,100
2025-02-22 03:00:00,PT,4913.2,100
2025-02-22 03:00:00,ES,21480.0,100
2025-02-22 04:00:00,PT,4843.0,100
2025-02-22 04:00:00,ES,21293.0,100
2025-02-22 05:00:00,ES,21792.0,100
2025-02-22 05:00:00,PT,4830.5,100
2025-02-22 06:00:00,PT,5018.6,100
2025-02-22 06:00:00,ES,23226.0,100
2025-02-22 07:00:00,ES,24681.0,100
2025-02-22 07:00:00,PT,5211.8,100
2025-02-22 08:00:00,PT,5583.1,100
2025-02-22 08:00:00,ES,26370.0,100
2025-02-22 09:00:00,PT,5922.2,100
2025-02-22 09:00:00,ES,27160.0,100
2025-02-22 10:00:00,ES,26990.0,100
2025-02-22 10:00:00,PT,5951.7,100
2025-02-22 11:00:00,PT,5965.7,100
2025-02-22 11:00:00,ES,27162.0,100
2025-02-22 12:00:00,PT,5991.9,100
2025-02-22 12:00:00,ES,27255.0,100
2025-02-22 13:00:00,PT,5752.9,100
2025-02-22 13:00:00,ES,27329.0,100
2025-02-22 14:00:00,PT,5586.3,100
2025-02-22 14:00:00,ES,26324.0,100
2025-02-22 15:00:00,ES,25425.0,100
2025-02-22 15:00:00,PT,5542.7,100
2025-02-22 16:00:00,PT,5613.2,100
2025-02-22 16:00:00,ES,25107.0,100
2025-02-22 17:00:00,ES,25719.0,100
2025-02-22 17:00:00,PT,5993.5,100
2025-02-22 18:00:00,ES,27748.0,100
2025-02-22 18:00:00,PT,6594.8,100
2025-02-22 19:00:00,ES,29184.0,100
2025-02-22 19:00:00,PT,7246.2,100
2025-02-22 20:00:00,ES,29462.0,100
2025-02-22 20:00:00,PT,7242.1,100
2025-02-22 21:00:00,PT,6836.3,100
2025-02-22 21:00:00,ES,27735.0,100
2025-02-22 22:00:00,ES,25740.0,100
2025-02-22 22:00:00,PT,6375.9,100
2025-02-22 23:00:00,PT,5861.6,100
2025-02-22 23:00:00,ES,23924.0,100
2025-02-23 00:00:00,PT,5355.6,100
2025-02-23 00:00:00,ES,21979.0,100
2025-02-23 01:00:00,ES,20792.0,100
2025-02-23 01:00:00,PT,4982.2,100
2025-02-23 02:00:00,ES,20145.0,100
2025-02-23 02:00:00,PT,4726.9,100
2025-02-23 03:00:00,PT,4561.1,100
2025-02-23 03:00:00,ES,19846.0,100
2025-02-23 04:00:00,ES,19849.0,100
2025-02-23 04:00:00,PT,4496.7,100
2025-02-23 05:00:00,ES,20432.0,100
2025-02-23 05:00:00,PT,4497.1,100
2025-02-23 06:00:00,PT,4647.8,100
2025-02-23 06:00:00,ES,21200.0,100
2025-02-23 07:00:00,ES,21869.0,100
2025-02-23 07:00:00,PT,4700.9,100
2025-02-23 08:00:00,PT,4873.7,100
2025-02-23 08:00:00,ES,23191.0,100
2025-02-23 09:00:00,PT,5226.6,100
2025-02-23 09:00:00,ES,24063.0,100
2025-02-23 10:00:00,PT,5486.0,100
2025-02-23 10:00:00,ES,23856.0,100
2025-02-23 11:00:00,ES,23506.0,100
2025-02-23 11:00:00,PT,5530.5,100
2025-02-23 12:00:00,ES,23860.0,100
2025-02-23 12:00:00,PT,5563.4,100
